STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980320 05:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980328 19:00,0.30, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980401 01:00,0.00,g, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980401 03:00,999.99,{, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980402 13:00,999.99,}, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980421 14:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980421 19:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980421 20:00,0.20, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980501 01:00,0.00,g, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980502 09:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980504 18:00,0.20, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980515 17:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980525 23:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980528 01:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980528 02:00,0.20, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980528 05:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980528 07:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980528 08:00,0.20, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980528 09:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980528 10:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980528 11:00,0.20, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980528 12:00,0.20, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980529 15:00,0.30, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980529 16:00,0.30, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980531 11:00,0.20, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980601 01:00,0.00,g, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980608 18:00,2.50, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980608 19:00,0.40, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980608 22:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980609 20:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980609 21:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980616 15:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980619 16:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980620 15:00,0.90, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980621 19:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980622 19:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980623 18:00,0.20, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980624 16:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980629 15:00,0.50, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980630 02:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980701 01:00,0.00,g, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980704 16:00,0.20, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980704 17:00,0.20, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980705 13:00,0.20, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980708 16:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980711 08:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980711 10:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980711 12:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980711 13:00,1.50, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980711 15:00,0.20, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980711 16:00,0.30, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980712 14:00,0.70, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980712 15:00,0.30, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980712 19:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980713 12:00,0.50, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980713 14:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980713 23:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980714 12:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980714 21:00,0.40, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980714 22:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980715 00:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980715 11:00,0.30, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980715 12:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980719 14:00,0.70, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980720 01:00,999.99,{, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980720 14:00,999.99,}, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980720 15:00,0.20, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980721 05:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980721 14:00,1.60, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980721 16:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980722 18:00,0.40, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980722 19:00,0.30, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980731 14:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980801 01:00,0.00,g, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980801 15:00,1.00, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980801 16:00,1.30, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.58639,-81.86361,19980807 14:00,0.40, , 
